month,salaries
2010-02,5321
2010-03,5715
2010-04,6069
2010-05,6557
2010-06,7006
2010-07,7702
2010-08,8497
2010-09,9222
2010-10,10053
2010-11,11214
2010-12,12472
2011-01,13950
2011-02,15572
2011-03,16457
2011-04,17651
2011-05,19340
2011-06,20421
2011-07,21479
2011-08,22509
2011-09,24315
2011-10,25658
2011-11,26677
2011-12,27538
2012-01,28806
2012-02,29643
2012-03,30595
2012-04,32574
2012-05,34917
2012-06,36712
2012-07,40173
2012-08,43499
2012-09,49577
2012-10,49227
2012-11,48641
2012-12,49495
2013-01,52642
2013-02,55911
2013-03,60369
2013-04,62200
2013-05,62339
2013-06,57850
2013-07,58792
2013-08,63188
2013-09,68290
2013-10,69200
2013-11,73123.4
2013-12,76343.2
2014-01,79563
2014-02,82782.8
2014-03,86002.6
2014-04,89222.4
2014-05,92442.2
2014-06,95662
2014-07,98881.8
2014-08,102101.6
2014-09,105321.4
2014-10,108541.2
2014-11,111761
2014-12,114980.8
2015-01,118200.6
2015-02,121420.4
2015-03,124640.2
2015-04,127860