observation_date,SANF806PCPI
1969-01-01,5321
1970-01-01,5715
1971-01-01,6069
1972-01-01,6557
1973-01-01,7006
1974-01-01,7702
1975-01-01,8497
1976-01-01,9222
1977-01-01,10053
1978-01-01,11214
1979-01-01,12472
1980-01-01,13950
1981-01-01,15572
1982-01-01,16457
1983-01-01,17651
1984-01-01,19340
1985-01-01,20421
1986-01-01,21479
1987-01-01,22509
1988-01-01,24315
1989-01-01,25658
1990-01-01,26677
1991-01-01,27538
1992-01-01,28806
1993-01-01,29643
1994-01-01,30595
1995-01-01,32574
1996-01-01,34917
1997-01-01,36712
1998-01-01,40173
1999-01-01,43499
2000-01-01,49577
2001-01-01,49227
2002-01-01,48641
2003-01-01,49495
2004-01-01,52642
2005-01-01,55911
2006-01-01,60369
2007-01-01,62200
2008-01-01,62339
2009-01-01,57850
2010-01-01,58792
2011-01-01,63188
2012-01-01,68290
2013-01-01,69200
2014-01-01,72364